n,correct digits (estimated),N,lambda
32, 1018, 3039, 5.7840348737024443183305074869302908629758881020193034076865241941259559089059204110648521734819390268044658159660067594826707144790901324775038433752628167444667512630640903250798181042248087365039148682676219469970468001525063518829867978827979083217743384024055212209285660172969728963289340336637569746608784702112320162089666335664823448452003438009825870657423095248059245375273336130963883474894357513698766133042814927329733545735671288382925893884524007120832442779526003399986615290189865547487864252862416199749755492147347174329469319448193746686666591047408943523254750587712054789542838508473169778241243672864791051162993800964429496697464355936726311229730509522263920377655374448710258886994608815258059159279128108551210251552349575483384515489705939118328093395405222276243412119162815483863055404251952038736536442899096108310822318499386432861739260172036908109717442816827567615525972166666325251512183065330772938614285724712471226315831035625036470948981188927669811965639530411279850784356156238
33, 1017, 3039, 5.783959992040508812335032522628621979446533803257192145331590083154997868699326917381222229542782753308127120829070484621203371797949226685464491964501550295313385599629844844050748328791554300124989002661699391391945347738591727220764983061154424851592036679632959643617830161534945983797373625323641595682732979812744506155680980246950633031074419803233159284217939658742896116318566363323631561759592861613308446969826767264699784040754491438049163114827806341987957778719319475296846704368549735595021458414497440334265941581324087145047950482494610199150959088400693051662704152234954403560101855923176926520788401069646358226215008925796038524484279699331951507454171262413074127091869078539726983104229498312287996984719722003512918246267873852236185280835443771312432414407365237935086474115398663886135779302588911249049933312037987648722930869832575393961881971704765735365647325666241087120178827760398106982514924084791924616580814194570395969766008751565987106682380303805240740616701212734376651960797259
34, 1019, 3039, 5.78389366569480925203347656871331495155743948865486916852258942241277035597840698879506130429677482102940527745518425574551382742474591422989866475618699531111848304632352800385975305262780824650625594222365094032513810877124296664952316989856181674497030434046639785927859015458413642703073675562713265181668363304870685238595114880897327098558873608936999854144599072958402943291907882939890326417583672227489900329380046540035650928447324578228974470654823834190730466189277977502024257916708377342216503294505510099342936958646227256325277390243002046219771985175299346577975491739287924787151733273701364532683258503079725295695097765927591058493978419115894463800506692794645881873138188631019334979928186736966997546517803537662871830661745687233179548167491677415531268475313559060954767259636830260468436371053143602454601281764396757360650043671175497508045765141233829010757249355835423631650700856584762047186456650973268965858637939606885331724978192046740748044196759234960932295974184055249939984603111918
35, 1020, 3039, 5.783834706770988202840700005223366541247385726415839585177029135573833219312933288647543127349376862903029159356035096115393981816945944537323943230332206922316750269179976753694432266379161464969825900095215450458960517444616803258876882118916313694074565989211895257354585977572525882772201071890556834097936690641793232239132592815906753564080506652469078781050640976337214568180577832989128145276928374728763426554658538408568071140297151355976879052902847586835381770917437571163800507933494450617503238020253430141363881887775899897888632663611184745301828497575386515064012401898786606599522577994584264129515299166416258547953979158130998775310739949210649165418156082500850986549158534534969744882889179399284798952932740804800554611633705320390376400799879666414283474667988084102411010461737949050434904513600001833794853832579423564352155846869218050863771037473470418663610232778605089560549755076713972334190457430250679351542651171664485065354243465364938044359840067888130001807284488791603406220570898365
36, 1021, 3039, 5.7837821199558806276999199658512709525068157974058073632137761205452291284017996866475057305935233944694272549238261592270805192715298367762843602923809752132053795441564754790750061810837560638845168837656329390209624006025115621929007965269417997757072509850760153779930377023805193011784915557128186286466343628260951819819445281667060271367663595253266167654827667430761976270863553188209115262742121138286805775542492569182046726945905058582172569656620049243029342625547049469903979189182327454316543794573448662246573239216185561892228389929527597199498652422704238636245619885808197039062967392186825523055505689583131917011975312924582398327548470851463537672581800976932100920603324889702387963074269058365187916078742148124030703174647308319894081617600201571640510670641348767271664948949897541321488926821955567038697738187676468173895038256722939542141102124338774632346440382882943351064290075681755136430808181154472462286531541036152580287100280100520406822090927753371045962494336918943466360881440504951
37, 1022, 3039, 5.78373506704984629196244063652425961667685469995831325667052245441544775541001105737643691547773927685372922931568923976455347812145826575235194226085333124735628849663231200868293133666533942143716910377272904804394697836124793154349131988127009998497925768518750475295452693961048169068543179894393658640840320844332384603345069001162155658815194508380284665833164927370512942932070204726245564533876356336666465508994806009084595672013753537529528898829672078902642070509943556812090120380114872602864989204719675278305554169406993034334484580027892972673826912340102982541211028027898548125930122143856001405833111072268133094367927739680341569993321065116578841980414499823635339735053591055047674275361606088249693246600947648260007511043392537455310867084565868419802581257340481216226682251738596036947398825978565176824808043017351571313518166911829881009038947879996785754238980800126256419076794923668195765412948595312836184281579150045583991954136621816443646544588781662058262465021215287438080620919210803898
38, 1023, 3039, 5.783692838773292267706517922262253550253888666141672450210841872633509669117769889278291084998040918283233386056807759564113495106674512815424179859607884408191352194925587987060977405033123267315689677189306924585993234471554297394519860934508763354143479104658791634314014764656396052891397707759962965816824759549915947158385183840126922204896675781503543944998255749008340633798755710147019973836424950939929107487409240270397107737634574081121211266829302323544884969195301808967203522276806013466482652605357332215173178188279799150648800695263261072162850872913108841138049426466901813562065086790674950657951414229970613737157216606723907986353519597064201265514869756609220041341998430137233683105958102913932490352767216259766698239735084496128906591339331607915275249870386655174913869882816053547584765890742409665145215945183543698969763936725718825277119260397937723905957531319423816375235906396976790737687333324863822348977179916452286481580717183369057223427609887305220138082910627285251875319666982074904
39, 1025, 3039, 5.78365483221087114338620791091478092101992227427903447949164451808262028692823666191793022707496345182979768537248871195460115083972679298716049704620772061769667476248898007741118289482856334931448763281958812240559697966580615688114391754578507507168777364625771189999787195165384912822507849084028735863267499994769501895270274191039936219770620011923635383052172794906524660905660297078830931824478368098734172176737632162358788295513726660572457027200213437495116762980817554891352291586070600057677934143585282465971486941672077806074149788406259248353784705547806901940380326212610262480870023730210570732306239040779430193054876241608357627646554757541343780446407626283278311732022664071035296264617974949827185642003035034009115430945107087592173771294272025026117183322528490328998615192364513588513157385967553114141596057645919209403796076888638119476785451442595767251589748910548794151572882260435927878587749293356764256505054095665370755960349980651023432366784577670259014631046697571485805784995473006685495
40, 1024, 3039, 5.7836205326559735769513685588890881918217017015935194936362782267018337720566751839306114953346441915595482308711068390918628972679701644425925579110645838570294399295235317208478123529448426632961333028122340607511359846729781094037949797343671957913987996543811623734481791935383492053008059547916510259074504533405816457206406767049325326276133825764948457782253454371568722678810306728782698430865998392892882974314694619686160255852118052664642672290718434237788397678498466048764325431036842934849902178066976139330639278264932112507615442751826856384000067754542280745282771272370403545222687728157424026057248983817247797150989118984536446158945076276499559967031632740886097650957227932929487620866029892847860130169172103281811126929719535688482340420057228210260923060098492131467519187807973131902331239111843140874843305061475869925161486162185044632438577071916530117660501937866471267612555545966803202698044638888235165415878634393995267941580294705924323089294127368666486860377205312023813876404566683525304
41, 1026, 3039, 5.783589498912728857243541087541613440608196223660192791073437679231302672922306943900475888303486482744873864906442267673065065172509447629227493297773316211082444468553560879857481830453395438420903476132642007762277303937109919175832722611193500089319655724559514926148499405308112477840357741465689598881047636669386669196215911480858047088469033795952218856216168963331993429190448699658214706108446997696615204363613729496410225021241249700346521556214136991945964677140477266348179190448524544101843459322266813869622668031446322916960881076695576922072704474164395869168369103556987679551664281382421169208065717674150063446037016878575023013317965636294202598805583638702368203745073718096972144258064073692366266849727165149284398993364321365996937681805002493541160804225944867028243215368736611915558050473441371208304455573934245945805318736178885437960298546532181557560127667689905151084202719504403514606514254371492319079905201486972265757900932758555826758582441286525625341698314291239976502654718152755744378
42, 1027, 3039, 5.7835613513319606799637449504695314840778395302886236100304896637294882538675696547960264825177766235817497396738300184769131068995699072246553592528868727422559167387708993957150442161487720726472616247214019382775760237091154409325110869860990334810041613764992810410249350619900826651537640894382711095967692318689648236482774294742869605244442692048980789025158192731154101711692286987762497856621309262652833834530067187199382400634051945535607372113295428074848314699976473347930939150608454067054706044614150375105028106604658108438370450566099449313812513109764785103701092560583239763341831408753398086559262977682520320853687952060480993869142343567479612556387732594660665682640048002594810884448406104974519360153419574906087682197956020945338163860524171374039728276441709802733751524445283862272916568169801661176850382635026825026639066465626087245266556603028459623629973672585277749622957069109631193793630779304791332088206720719719402016355550900478831862317495617583442301903624967718394832100750361600519344
43, 1026, 3039, 5.783535762021971971277446762066070777218626225977760702067607748266076034221113138200279902320195735391707227264367901396375407633898937893767969206235744783838585087370216063372966386993566352053810306964989649553292986004701974711844408216844472027053589553818349162625324528180555736602557381019857935259780853924891268750535448349617711744264077488931308034382426025673818202620649530733870779063695173270303465728136630971155888670680170777976759356491932316808102903348523515728780815123091344960470301844258619401518685518793730484424154720848124931547128891685159225120850593214855418940539330026118243597906295240364593425705611436749400904308233648498827359353974989063634623180999373496734051439624937894968916227981477642855895168507046439674479105015328479088016252346596585464454491912656507451897147125071608524984936484567866342124186194668716886240089506548759640660845859060097560441718067553281859127205497353236855927240368002784202889332959763638924371174582503680181886468487991047095454147881131880815049
44, 1028, 3039, 5.78351244679926803347480335798766793457231300268070372876884337700480538573708008857409999743324403047098269877374921372826589156696945433071792742294507760911838243108304602811464041319701718847121858102149965660548710491854969986791916076980656465586266253747047020124508170769465090715453029679440069083705000159419531839500534173092911483674926558966984705327982811121521875216082371448142685453743989555202767408513972460243929588455624740603187932910838206057964362770400250135942797904311771150635706118910913899824906328914688262643070249878599936876306944734660326768592975830763527762071730019268971348410022048565247196683740738912651238818687501807466627777477091550169346886548982467883243347337738722153312283019567350998303158732368795524678821018362887200777538064738391307986181372233230183569439135949421194749891252258548634528440582360933166840637641023866807010786885778422540425372400772776263677354723041730773801351014119752799720837556499076162604435096028412201210709958537349513126410970401363934107867
45, 1030, 3039, 5.7834911585388563029138588788042873791362916820365871147841243712362705004192489544282723629472210038308064675210857370421242894890612153458766386020255733207895942336967085677731269274655131829539686056084571084852057740690546826942469317339936379473569163062477553953015757414466497814348886565591831533816550551362854595153930154021926593201774407199327687424569911606547417778483367069939427698886058044829196457091236384185497478765504880214392279788769971717394684548572399613802679939163051031487851551138599420930505822431565172319747367678371570525224954180374075355084151699259809180518350180362497719719723534881875482583056724813004620080238897901028024968444157081936089757822959108984022729400360510280626611764224694515381386533254036779505580855533284995046692318879563214396435836581352113508571313546803108966604277604535206863496315710057328641515753512283454814766848580589788224376134707496662300543055381684499711159470157458573555961793744931210842553147687140917234697235181664101650119094214533451296055716
46, 1030, 3039, 5.7834716816561681101051372252375789382247863870892331117544050229475446952657714723895108725942161777543644707540645450004921113389825012766059698349462050413196208318740560527820534228077225774943493348150691630130226161605877058654443115452373278203360922558537786998366149358572140698254893490897507654808805858263342976701630111551750779191474653127961592411001383070600889526973241544403944238099976690592596591184164299180494238837895981645811084819929626472667421762333679107056321535915717086844518994565700303682045661412611113259306630230801082050215769185285957455424798877335111562752397606488747852863211388703453547057215635484032890483336449047997490359581031845946358466952172056461856316482975707969380713911812010889139298450878579391395132694066947850412507339639420007871597780667963726410758236230663225707558548902867982080739103577294946852151378184674405189893678041990556105493109291109492868327714494906128717633574092764960457382192419560141907740776203151663453469480878508863298201431600928012852190617
47, 1030, 3039, 5.783453827508463297379645913916576075154358289917289966347603579944621453109673932278043115285862433672514409765876896954917043773819231452999710538763456734921663167379974182891460672532117523099041517195469354573078537798380668556172061777825859666723787834937852866747707159853760688341635895280210846095608101215178968025120377238641497474525876042385813555261598195206088005087292916352157304013916737329280660990774831146116774065030591869784803492422961662521444475718646002816782647060806617684096468269559012182594467028486668543025583036694352347338388540685327167973556921725193637034185813475693272107150289296719989715085062515124781950961108302575592184191583896096258500426875813278385961318804212978245515510418736028635549861117747258724441149749603269516314927074756457440126868345744769249947214750594300607271883145452312765446095639239821598295862775469218996437250478719686154776367776267548148999308252286657875119133129116560168646391619362089165311450768980985887420318780565828154149523654456685637956386
48, 1031, 3039, 5.78343743054686541925063606475588480684347567725243970406879521914517106655048901509763924262940434271540633634028758985396872178498897629749034688048204524565434019546661437900608806991471958280778810831114217098799960381544478723314726258042048190922555093648901409953781479621209753323639425993352132958777639415148089849892962890770647913676204047198276513025638668572418079483958901684408065105743702119107693289567770180108965522695149746971184984045111197799388902603201615383498731288862664084021624474677459270496293397186757065845602516474727672624501543672524292167668623462425522340469274970638265956791171029167063261424622631851975246820671127287070222591702339267731744957333356442528403178937081518891845562592865279751328437081045269434688815199069350954547397972651352066698329293969934533011078486546005837546435981119638881809450743078630738427639357596971595996951160403827192921240224587723130582088301542809835658910198696541013613809588771803928607089722308068968900195533955817490425172332878483213519843073
49, 1031, 3039, 5.78342234508394017728694551658628885357680357230511247948165822996635832111522252508060373996475384539752773813785155686671606904723156982118176519067932559871917301672394468409764172609101026014404259504221075822033302851437712876858742873488234391462864099456983754222993880164879014087191003610983673816138499787489636428958655715649807147783072862740432532018214952318857308168776699206740175578989639961930704327413395640455971148823547677883854161134501945901470992802788302881190017292633449835583123876421097442474647260092208979479943445106785019815353242783365560729080866142358813910824829077905136345684502738142838093529334707015924885891121004096443426122089394141486174784933763409925618814711117394726214894634355267543491674856452097955890630583846836002859102543687695638683695271102823002319964036457129147573142878508283206519480599158455614306175083330403024892806457197725368871546206195732291353807361271499268459312875371984052191912511720738805188733915122617540824246428794713288261902670297101450625033123
50, 1031, 3039, 5.78340844256821299478011619632364695902929235160176203838989710659828881532739375285737884809420822912358713989692393354444830036126279366301689565559998885520512711791416266351022712186611286069517755055709924937423669276992628812535016792343184422095531075500412641454301684566480558109257450755136966432735959675933923650955868510411919892866291866175754819199982065414979935016825344780949511636498873422870545231312131034874469506578316018643931260359285933963487970942520530476428298953375170507034113175540557692425979579945618780448635272716696330499617680055040748438249606010947877234058356746392471269150334980970617514499129863658481629990363945724260324064005269218878051507044996451642641103797175058889140976975642284671428987406294337103430652910203370174433261225332532390493749704207752300952457676705244872604777225764884014225377651182419654858570966816761744781605568811943234948298019404534575681442603043367249613958322251532053502251461879563989099005639941546140933465655767030022988522067530071820996063711
